Wavelength,n,k
1668,2.69673,8.18828
1670,2.69672,8.19977
1672,2.69671,8.21126
1674,2.6967,8.22275
1676,2.69669,8.23424
1678,2.6967,8.24574
1680,2.69673,8.25724
1682,2.69676,8.26874
1684,2.69678,8.28024
1686,2.69681,8.29174
1688,2.69683,8.30324
1690,2.69686,8.31474
1692,2.69688,8.32624
1694,2.69691,8.33774
1696,2.69693,8.34924
1698,2.69696,8.36074
1700,2.69699,8.37224
1702,2.69705,8.38375
1704,2.69712,8.39526
1706,2.69718,8.40678
1708,2.69724,8.41829
1710,2.6973,8.4298
1712,2.69737,8.44131
1714,2.69743,8.45282
1716,2.69749,8.46433
1718,2.69756,8.47584
1720,2.69762,8.48736
1722,2.69768,8.49887
1724,2.69776,8.51038
1726,2.69786,8.52191
1728,2.69796,8.53344
1730,2.69806,8.54496
1732,2.69817,8.55649
1734,2.69827,8.56802
1736,2.69837,8.57954
1738,2.69847,8.59107
1740,2.69857,8.6026
1742,2.69867,8.61412
1744,2.69878,8.62565
1746,2.69888,8.63717
1748,2.69899,8.64871
1750,2.69914,8.66025
1752,2.69928,8.6718
1754,2.69942,8.68334
1756,2.69957,8.69489
1758,2.69971,8.70643
1760,2.69986,8.71798
1762,2.7,8.72952
1764,2.70014,8.74107
1766,2.70029,8.75261
1768,2.70043,8.76416
1770,2.70058,8.7757
1772,2.70072,8.78725
1774,2.7009,8.7988
1776,2.70109,8.81037
1778,2.70128,8.82193
1780,2.70147,8.83349
1782,2.70166,8.84505
1784,2.70185,8.85661
1786,2.70204,8.86818
1788,2.70223,8.87974
1790,2.70242,8.8913
1792,2.70261,8.90286
1794,2.7028,8.91442
1796,2.70299,8.92598
1798,2.70319,8.93755
1800,2.70342,8.94913
1802,2.70366,8.96071
1804,2.7039,8.9723
1806,2.70414,8.98388
1808,2.70438,8.99547
1810,2.70462,9.00705
1812,2.70485,9.01863
1814,2.70509,9.03022
1816,2.70533,9.0418
1818,2.70557,9.05338
1820,2.70581,9.06497
1822,2.70605,9.07655
1824,2.70629,9.08813
1826,2.70657,9.09973
1828,2.70686,9.11134
1830,2.70715,9.12294
1832,2.70744,9.13454
1834,2.70773,9.14614
1836,2.70802,9.15774
1838,2.70831,9.16935
1840,2.7086,9.18095
1842,2.7089,9.19255
1844,2.70919,9.20415
1846,2.70948,9.21576
1848,2.70977,9.22736
1850,2.71006,9.23896
1852,2.71037,9.25057
1854,2.71071,9.26219
1856,2.71106,9.27382
1858,2.71141,9.28544
1860,2.71175,9.29707
1862,2.7121,9.30869
1864,2.71245,9.32032
1866,2.71279,9.33194
1868,2.71314,9.34357
1870,2.71348,9.35519
1872,2.71383,9.36681
1874,2.71418,9.37844
1876,2.71452,9.39006
1878,2.71487,9.40169
1880,2.71524,9.41332
1882,2.71565,9.42497
1884,2.71605,9.43662
1886,2.71646,9.44826
1888,2.71686,9.45991
1890,2.71727,9.47156
1892,2.71768,9.48321
1894,2.71808,9.49486
1896,2.71849,9.5065
1898,2.7189,9.51815
1900,2.7193,9.5298
1902,2.71971,9.54145
1904,2.72011,9.55309
1906,2.72052,9.56474
1908,2.72093,9.57639
1910,2.7214,9.58806
1912,2.72187,9.59972
1914,2.72234,9.61139
1916,2.72281,9.62306
1918,2.72328,9.63472
